عبدالصمد تپشؔ 	/poets/abdussamad-tapish?lang=ur
ابھیشیک کمار امبر 	/poets/abhishek-kumar-amber?lang=ur
ابھیشیک شکلا 	/poets/abhishek-shukla?lang=ur
عابد اختر 	/poets/abid-akhtar?lang=ur
عابد عالمی 	/poets/abid-almi?lang=ur
عابد حشری 	/poets/abid-hashri?lang=ur
عابد کرہانی 	/poets/abid-karhani?lang=ur
عابد کاظمی 	/poets/abid-kazmi?lang=ur
عابد خورشید 	/poets/abid-khursheed?lang=ur
عابد ملک 	/poets/abid-malik?lang=ur
عابد مناوری 	/poets/abid-munavari?lang=ur
عابد نامی 	/poets/abid-nami?lang=ur
عابد صدیق 	/poets/abid-siddiq?lang=ur
عابد سیال 	/poets/abid-syal?lang=ur
عابد ودود 	/poets/abid-wadood?lang=ur
ابر احسنی گنوری 	/poets/abr-ahsani-ganauri?lang=ur
ابرار عابد 	/poets/abrar-abid?lang=ur
ابرار احمد 	/poets/abrar-ahmad?lang=ur
ابرار اعظمی 	/poets/abrar-azmi?lang=ur
ابرار حامد 	/poets/abrar-hamid?lang=ur
ابرار کرتپوری 	/poets/abrar-kiratpuri?lang=ur
ابرار شاہجہانپوری 	/poets/abrar-shahjahanpuri?lang=ur
ابرارالحسن 	/poets/abrarul-hasan?lang=ur
آبرو شاہ مبارک 	/poets/abroo-shah-mubarak?lang=ur
ابصار عبد العلی 	/poets/absar-abdul-ali?lang=ur
ابو بکر عباد 	/poets/abu-bakr-abbad?lang=ur
ابو محمد سحر 	/poets/abu-mohammad-sahar?lang=ur
ابو تراب 	/poets/abu-turab?lang=ur
ابوزاہد سید یحییٰ حسینی قدر 	/poets/abu-zahid-sayyad-yahya-husaini-qadr?lang=ur
ابو الحسنات حقی 	/poets/abul-hasanat-haqqi?lang=ur
ابو الکلام آزاد 	/poets/abul-kalam-azad?lang=ur
ابو المجاہد زاہد 	/poets/abul-mujahid-zahid?lang=ur
ادا جعفری 	/poets/ada-jafarey?lang=ur
ادیب خلوت 	/poets/adeeb-khalwat?lang=ur
ادیب سہارنپوری 	/poets/adeeb-saharanpuri?lang=ur
ادیب سہیل 	/poets/adeeb-suhail?lang=ur
عدیل زیدی 	/poets/adeel-zaidi?lang=ur
عدیم ہاشمی 	/poets/adeem-hashmi?lang=ur
عادل فریدی 	/poets/adil-faridi?lang=ur
عادل حیات 	/poets/adil-hayat?lang=ur
عادل منصوری 	/poets/adil-mansuri?lang=ur
عادل رشید 	/poets/adil-rasheed?lang=ur
آدتیہ پنت ناقد 	/poets/aditya-pant-naaqid?lang=ur
عفیف سراج 	/poets/afeef-siraj?lang=ur
افقر موہانی 	/poets/afkar-mohani?lang=ur
افروز عالم 	/poets/afroz-alam?lang=ur
افروز طالب 	/poets/afroz-talib?lang=ur
افسر الہ آبادی 	/poets/afsar-allahabadi?lang=ur
افسر آذری 	/poets/afsar-azri?lang=ur
افسر جمشید 	/poets/afsar-jamshed?lang=ur
افسر ماہ پوری 	/poets/afsar-mahpuri?lang=ur
افسر میرٹھی 	/poets/afsar-merathi?lang=ur
آفتاب احمد 	/poets/aftab-ahmad?lang=ur
آفتاب احمد شاہ 	/poets/aftab-ahmad-shah?lang=ur
آفتاب عارف 	/poets/aftab-arif?lang=ur
آفتاب حسین 	/poets/aftab-hussain?lang=ur
آفتاب اقبال شمیم 	/poets/aftab-iqbal-shamim?lang=ur
آفتاب شاہ عالم ثانی 	/poets/aftab-shah-alam-sani?lang=ur
آفتاب شکیل 	/poets/aftab-shakeel?lang=ur
آفتاب شمسی 	/poets/aftab-shamsi?lang=ur
افضال فردوس 	/poets/afzaal-firdaus?lang=ur
افضال احمد سید 	/poets/afzal-ahmad-syed?lang=ur
افضل الہ آبادی 	/poets/afzal-allahabadi?lang=ur
افضل علوی 	/poets/afzal-alvi?lang=ur
افضل گوہر راؤ 	/poets/afzal-gauhar-rao?lang=ur
افضل ہزاروی 	/poets/afzal-hazarvi?lang=ur
افضل خان 	/poets/afzal-khan?lang=ur
افضل منہاس 	/poets/afzal-minhas?lang=ur
افضال نوید 	/poets/afzal-naved?lang=ur
افضل پرویز 	/poets/afzal-parvez?lang=ur
افضل پیشاوری 	/poets/afzal-peshawari?lang=ur
آغا حجو شرف 	/poets/agha-hajju-sharaf?lang=ur
آغا حشر کاشمیری 	/poets/agha-hashr-kashmiri?lang=ur
آغا محمد تقی خان ترقی 	/poets/agha-mohammad-taqi-khan-taraqqi?lang=ur
